stockMission_A[3]	stockMission_A[4]	load_truck_[4]	stockMission_A[2]	stockMission_A[0]	stockMission_A[1]	load_truck_[5]	stockMission_A[5]	load_truck_[6]	unload_truck_[3]	unload_truck_[1]	SOURCE	unload_truck_[2]	
stockMission_A[3]	00:02:24.59	00:02:24.59	00:01:57.93	00:01:57.93	00:02:57.38	00:02:57.38	00:03:06.79	00:03:06.79	00:02:47.60	00:02:47.60	00:02:08.89	00:02:08.89	00:02:27.47	00:02:27.47	00:02:18.89	00:02:18.89	00:02:00.54	00:02:00.54	00:01:37.67	00:01:37.67	00:01:48.97	00:01:48.97	00:01:13.33	00:01:14.87	00:02:49.49	00:02:49.49	
stockMission_A[4]	00:02:46.90	00:02:46.90	00:02:20.24	00:02:20.24	00:03:46.09	00:03:46.09	00:03:29.10	00:03:29.10	00:03:09.91	00:03:09.91	00:00:30.00	00:00:30.00	00:02:48.88	00:02:48.88	00:02:39.60	00:02:39.60	00:02:21.25	00:02:21.25	00:01:00.68	00:01:00.68	00:00:53.30	00:00:53.30	00:01:34.04	00:01:35.57	00:03:10.20	00:03:10.20	
load_truck_[4]	00:02:16.72	00:02:16.72	00:01:50.07	00:01:50.07	00:03:15.91	00:03:15.91	00:02:58.92	00:02:58.92	00:02:39.73	00:02:39.73	00:02:08.51	00:02:08.51	00:02:18.70	00:02:18.70	00:02:09.42	00:02:09.42	00:01:51.07	00:01:51.07	00:01:00.29	00:01:00.29	00:01:07.63	00:01:07.63	00:01:03.86	00:01:05.39	00:02:40.02	00:02:40.02	
stockMission_A[2]	00:02:28.45	00:02:28.45	00:02:01.80	00:02:01.80	00:03:01.25	00:03:01.25	00:03:10.65	00:03:10.65	00:02:51.47	00:02:51.47	00:02:05.39	00:02:05.39	00:02:31.33	00:02:31.33	00:02:22.76	00:02:22.76	00:02:04.41	00:02:04.41	00:01:34.17	00:01:34.17	00:01:45.47	00:01:45.47	00:01:17.20	00:01:18.73	00:02:53.36	00:02:53.36	
stockMission_A[0]	00:01:29.84	00:01:29.84	00:01:03.18	00:01:03.18	00:02:29.03	00:02:29.03	00:02:12.04	00:02:12.04	00:01:52.85	00:01:52.85	00:03:11.11	00:03:11.11	00:01:32.72	00:01:32.72	00:01:36.28	00:01:36.28	00:01:31.93	00:01:31.93	00:01:56.53	00:01:56.53	00:02:03.87	00:02:03.87	00:00:50.40	00:00:51.94	00:02:18.14	00:02:18.14	
stockMission_A[1]	00:02:15.31	00:02:15.31	00:01:48.66	00:01:48.66	00:02:43.26	00:02:43.26	00:02:57.51	00:02:57.51	00:02:38.33	00:02:38.33	00:02:23.29	00:02:23.29	00:02:18.19	00:02:18.19	00:02:09.61	00:02:09.61	00:01:51.27	00:01:51.27	00:01:52.07	00:01:52.07	00:02:03.37	00:02:03.37	00:01:04.05	00:01:05.59	00:02:40.21	00:02:40.21	
load_truck_[5]	00:02:07.39	00:02:07.39	00:01:40.74	00:01:40.74	00:03:06.58	00:03:06.58	00:02:49.59	00:02:49.59	00:02:30.41	00:02:30.41	00:02:17.87	00:02:17.87	00:02:09.37	00:02:09.37	00:02:00.09	00:02:00.09	00:01:41.75	00:01:41.75	00:01:09.66	00:01:09.66	00:01:17.01	00:01:17.01	00:00:54.53	00:00:56.07	00:02:30.69	00:02:30.69	
stockMission_A[5]	00:01:38.76	00:01:38.76	00:01:12.11	00:01:12.11	00:02:37.95	00:02:37.95	00:02:20.96	00:02:20.96	00:02:01.77	00:02:01.77	00:02:50.20	00:02:50.20	00:01:41.64	00:01:41.64	00:01:43.62	00:01:43.62	00:01:25.28	00:01:25.28	00:01:35.62	00:01:35.62	00:01:42.97	00:01:42.97	00:00:38.07	00:00:39.60	00:02:14.23	00:02:14.23	
load_truck_[6]	00:02:09.27	00:02:09.27	00:01:42.61	00:01:42.61	00:03:08.46	00:03:08.46	00:02:51.47	00:02:51.47	00:02:32.28	00:02:32.28	00:02:15.99	00:02:15.99	00:02:11.24	00:02:11.24	00:02:01.96	00:02:01.96	00:01:43.62	00:01:43.62	00:01:07.78	00:01:07.78	00:01:15.13	00:01:15.13	00:00:56.41	00:00:57.94	00:02:32.57	00:02:32.57	
unload_truck_[3]	00:01:33.21	00:01:33.21	00:01:26.96	00:01:26.96	00:01:51.01	00:01:51.01	00:02:15.41	00:02:15.41	00:01:56.22	00:01:56.22	00:03:42.13	00:03:42.13	00:01:36.09	00:01:36.09	00:01:39.65	00:01:39.65	00:01:46.62	00:01:46.62	00:02:32.79	00:02:32.79	00:02:40.14	00:02:40.14	00:01:26.67	00:01:28.20	00:02:21.51	00:02:21.51	
