stockMission_A[3]	load_truck_[8]	stockMission_A[4]	stockMission_A[2]	stockMission_A[0]	stockMission_A[1]	load_truck_[5]	load_truck_[7]	stockMission_A[6]	load_truck_[6]	stockMission_A[5]	unload_truck_[3]	unload_truck_[4]	unload_truck_[1]	SOURCE	unload_truck_[2]	
stockMission_A[3]	00:03:16.40	00:03:16.40	00:03:05.93	00:03:05.93	00:03:20.74	00:03:20.74	00:01:17.86	00:01:17.86	00:01:44.88	00:01:44.88	00:02:48.15	00:02:48.15	00:02:01.75	00:02:01.75	00:01:31.49	00:01:31.49	00:01:03.84	00:01:03.84	00:02:15.80	00:02:15.80	00:01:58.77	00:01:58.77	00:01:38.51	00:01:38.51	00:01:29.17	00:01:29.17	00:01:49.81	00:01:49.81	00:01:12.33	00:01:13.87	00:02:48.49	00:02:48.49	
load_truck_[8]	00:03:59.26	00:03:59.26	00:01:29.97	00:01:29.97	00:01:50.59	00:01:50.59	00:02:17.46	00:02:17.46	00:02:49.09	00:02:49.09	00:04:26.71	00:04:26.71	00:03:42.63	00:03:42.63	00:02:17.17	00:02:17.17	00:02:46.57	00:02:46.57	00:03:48.75	00:03:48.75	00:01:53.32	00:01:53.32	00:02:34.62	00:02:34.62	00:02:25.28	00:02:25.28	00:02:39.04	00:02:39.04	00:01:02.11	00:01:00.52	00:01:06.48	00:01:06.48	
stockMission_A[4]	00:02:57.71	00:02:57.71	00:02:47.71	00:02:47.71	00:02:58.62	00:02:58.62	00:02:15.17	00:02:15.17	00:02:47.72	00:02:47.72	00:03:25.16	00:03:25.16	00:02:38.76	00:02:38.76	00:02:00.18	00:02:00.18	00:02:06.67	00:02:06.67	00:02:52.81	00:02:52.81	00:01:50.37	00:01:50.37	00:02:41.34	00:02:41.34	00:02:32.01	00:02:32.01	00:02:52.65	00:02:52.65	00:01:51.09	00:01:52.63	00:02:53.67	00:02:53.67	
stockMission_A[2]	00:01:45.07	00:01:45.07	00:04:44.47	00:04:44.47	00:04:59.27	00:04:59.27	00:03:30.51	00:03:30.51	00:02:37.63	00:02:37.63	00:02:35.44	00:02:35.44	00:02:22.18	00:02:22.18	00:03:29.37	00:03:29.37	00:03:10.60	00:03:10.60	00:02:30.62	00:02:30.62	00:03:37.31	00:03:37.31	00:02:16.30	00:02:16.30	00:02:25.65	00:02:25.65	00:02:08.92	00:02:08.92	00:02:38.55	00:02:40.09	00:04:17.53	00:04:17.53	
stockMission_A[0]	00:03:18.64	00:03:18.64	00:02:17.99	00:02:17.99	00:02:32.87	00:02:32.87	00:01:34.52	00:01:34.52	00:02:06.15	00:02:06.15	00:03:46.09	00:03:46.09	00:02:59.69	00:02:59.69	00:01:34.24	00:01:34.24	00:02:03.63	00:02:03.63	00:03:05.81	00:03:05.81	00:01:24.94	00:01:24.94	00:01:51.68	00:01:51.68	00:01:42.35	00:01:42.35	00:01:59.02	00:01:59.02	00:00:39.28	00:00:40.82	00:01:47.81	00:01:47.81	
stockMission_A[1]	00:03:35.63	00:03:35.63	00:02:05.27	00:02:05.27	00:02:20.07	00:02:20.07	00:01:51.51	00:01:51.51	00:02:23.14	00:02:23.14	00:03:03.83	00:03:03.83	00:03:16.68	00:03:16.68	00:01:37.19	00:01:37.19	00:02:19.01	00:02:19.01	00:03:22.80	00:03:22.80	00:01:01.82	00:01:01.82	00:02:08.67	00:02:08.67	00:01:59.33	00:01:59.33	00:02:16.02	00:02:16.02	00:01:02.54	00:01:04.08	00:02:11.23	00:02:11.23	
load_truck_[5]	00:03:12.64	00:03:12.64	00:02:10.63	00:02:10.63	00:02:25.44	00:02:25.44	00:01:28.52	00:01:28.52	00:02:00.16	00:02:00.16	00:03:40.09	00:03:40.09	00:02:53.69	00:02:53.69	00:01:20.49	00:01:20.49	00:01:57.63	00:01:57.63	00:02:59.81	00:02:59.81	00:01:03.47	00:01:03.47	00:01:45.69	00:01:45.69	00:01:36.35	00:01:36.35	00:01:53.02	00:01:53.02	00:00:33.28	00:00:34.82	00:02:03.76	00:02:03.76	
load_truck_[7]	00:02:26.98	00:02:26.98	00:03:11.17	00:03:11.17	00:03:25.97	00:03:25.97	00:01:53.86	00:01:53.86	00:01:49.55	00:01:49.55	00:02:54.42	00:02:54.42	00:02:27.97	00:02:27.97	00:01:56.07	00:01:56.07	00:02:11.98	00:02:11.98	00:02:25.71	00:02:25.71	00:02:04.01	00:02:04.01	00:01:07.94	00:01:07.94	00:01:17.29	00:01:17.29	00:01:06.75	00:01:06.75	00:01:02.56	00:01:04.09	00:02:41.54	00:02:41.54	
stockMission_A[6]	00:02:29.71	00:02:29.71	00:03:14.39	00:03:14.39	00:03:29.19	00:03:29.19	00:01:37.92	00:01:37.92	00:01:53.90	00:01:53.90	00:02:57.16	00:02:57.16	00:02:10.77	00:02:10.77	00:01:51.55	00:01:51.55	00:01:16.50	00:01:16.50	00:02:24.81	00:02:24.81	00:02:07.23	00:02:07.23	00:01:45.75	00:01:45.75	00:01:36.42	00:01:36.42	00:01:53.10	00:01:53.10	00:01:19.18	00:01:20.72	00:02:55.34	00:02:55.34	
load_truck_[6]	00:04:06.63	00:04:06.63	00:01:22.56	00:01:22.56	00:01:43.17	00:01:43.17	00:02:24.83	00:02:24.83	00:02:56.46	00:02:56.46	00:04:34.08	00:04:34.08	00:03:50.00	00:03:50.00	00:02:24.54	00:02:24.54	00:02:53.94	00:02:53.94	00:03:56.12	00:03:56.12	00:02:00.72	00:02:00.72	00:02:41.99	00:02:41.99	00:02:32.65	00:02:32.65	00:02:46.41	00:02:46.41	00:01:09.48	00:01:07.89	00:00:59.06	00:00:59.06	
