unload_truck_[1]	stockMission_A[3]	SOURCE	unload_truck_[2]	stockMission_A[4]	load_truck_[4]	load_truck_[3]	stockMission_A[0]	stockMission_A[2]	stockMission_A[1]	stockMission_A[5]	
unload_truck_[1]	00:02:26.22	00:02:26.22	00:02:24.80	00:02:24.80	00:01:53.96	00:01:55.49	00:03:30.12	00:03:30.12	00:04:12.84	00:04:12.84	00:03:17.26	00:03:17.26	00:03:01.70	00:03:01.70	00:02:54.13	00:02:54.13	00:02:39.36	00:02:39.36	00:02:53.40	00:02:53.40	00:02:32.65	00:02:32.65	
stockMission_A[3]	00:01:59.02	00:01:59.02	00:01:29.91	00:01:29.91	00:00:39.28	00:00:40.82	00:01:47.81	00:01:47.81	00:03:00.92	00:03:00.92	00:02:08.31	00:02:08.31	00:01:44.95	00:01:44.95	00:02:54.21	00:02:54.21	00:02:54.17	00:02:54.17	00:01:15.75	00:01:15.75	00:00:57.92	00:00:57.92	
SOURCE	00:01:47.16	00:01:48.70	00:01:23.79	00:01:25.32	00:00:00.00	00:00:00.00	00:01:49.21	00:01:47.62	00:03:02.32	00:03:00.73	00:02:12.14	00:02:13.68	00:01:48.78	00:01:50.32	00:02:39.91	00:02:41.45	00:02:40.65	00:02:42.18	00:01:37.26	00:01:38.80	00:01:11.85	00:01:13.39	
unload_truck_[2]	00:03:39.42	00:03:39.42	00:02:48.81	00:02:48.81	00:02:10.70	00:02:09.11	00:01:34.08	00:01:34.08	00:01:18.12	00:01:18.12	00:02:22.52	00:02:22.52	00:01:55.32	00:01:55.32	00:04:37.34	00:04:37.34	00:04:37.30	00:04:37.30	00:02:24.49	00:02:24.49	00:02:48.12	00:02:48.12	
stockMission_A[4]	00:02:16.02	00:02:16.02	00:01:25.40	00:01:25.40	00:01:02.54	00:01:04.08	00:02:11.23	00:02:11.23	00:02:48.12	00:02:48.12	00:01:42.77	00:01:42.77	00:01:19.41	00:01:19.41	00:03:13.94	00:03:13.94	00:03:13.89	00:03:13.89	00:01:14.82	00:01:14.82	00:01:28.85	00:01:28.85	
load_truck_[4]	00:00:54.54	00:00:54.54	00:02:03.91	00:02:03.91	00:01:22.38	00:01:23.92	00:03:01.36	00:03:01.36	00:04:06.18	00:04:06.18	00:03:00.83	00:03:00.83	00:02:37.47	00:02:37.47	00:01:46.13	00:01:46.13	00:01:39.05	00:01:39.05	00:02:29.18	00:02:29.18	00:02:06.81	00:02:06.81	
load_truck_[3]	00:00:58.28	00:00:58.28	00:01:48.97	00:01:48.97	00:01:13.19	00:01:14.73	00:02:49.36	00:02:49.36	00:03:51.25	00:03:51.25	00:02:45.90	00:02:45.90	00:02:22.54	00:02:22.54	00:01:56.21	00:01:56.21	00:01:54.01	00:01:54.01	00:02:14.25	00:02:14.25	00:01:51.89	00:01:51.89	
stockMission_A[0]	00:03:28.36	00:03:28.36	00:03:02.16	00:03:02.16	00:01:51.43	00:01:49.84	00:01:27.72	00:01:27.72	00:01:52.77	00:01:52.77	00:02:43.21	00:02:43.21	00:02:16.01	00:02:16.01	00:04:21.11	00:04:21.11	00:04:21.84	00:04:21.84	00:02:45.19	00:02:45.19	00:02:30.17	00:02:30.17	
stockMission_A[2]	00:03:32.88	00:03:32.88	00:02:42.27	00:02:42.27	00:02:04.16	00:02:02.57	00:01:27.54	00:01:27.54	00:01:24.65	00:01:24.65	00:02:15.98	00:02:15.98	00:01:48.78	00:01:48.78	00:04:30.80	00:04:30.80	00:04:30.76	00:04:30.76	00:02:17.95	00:02:17.95	00:02:41.58	00:02:41.58	
stockMission_A[1]	00:04:16.26	00:04:16.26	00:03:25.65	00:03:25.65	00:02:42.12	00:02:40.53	00:02:14.12	00:02:14.12	00:01:00.95	00:01:00.95	00:02:45.44	00:02:45.44	00:02:32.17	00:02:32.17	00:05:11.80	00:05:11.80	00:05:12.54	00:05:12.54	00:03:01.34	00:03:01.34	00:03:20.87	00:03:20.87	
stockMission_A[5]	00:02:08.92	00:02:08.92	00:03:25.04	00:03:25.04	00:02:38.55	00:02:40.09	00:04:17.53	00:04:17.53	00:05:27.31	00:05:27.31	00:04:21.97	00:04:21.97	00:03:58.61	00:03:58.61	00:01:26.86	00:01:26.86	00:01:38.18	00:01:38.18	00:03:50.31	00:03:50.31	00:04:00.01	00:04:00.01	
